<IPython.core.display.HTML object>

X shape: (6701, 64, 64, 3)

Y shape: (6701,)

Using cuda device
2 Layer Model | loss_sqrt: 0.287671 | [  102/  200]
2 Layer Model | loss_sqrt: 0.287669 | [  103/  200]
2 Layer Model | loss_sqrt: 0.287666 | [  104/  200]
2 Layer Model | loss_sqrt: 0.287662 | [  105/  200]
2 Layer Model | loss_sqrt: 0.287658 | [  106/  200]
2 Layer Model | loss_sqrt: 0.287654 | [  107/  200]
2 Layer Model | loss_sqrt: 0.287650 | [  108/  200]
2 Layer Model | loss_sqrt: 0.287646 | [  109/  200]
2 Layer Model | loss_sqrt: 0.287643 | [  110/  200]
2 Layer Model | loss_sqrt: 0.287640 | [  111/  200]
2 Layer Model | loss_sqrt: 0.287638 | [  112/  200]
2 Layer Model | loss_sqrt: 0.287635 | [  113/  200]
2 Layer Model | loss_sqrt: 0.287633 | [  114/  200]
2 Layer Model | loss_sqrt: 0.287631 | [  115/  200]
2 Layer Model | loss_sqrt: 0.287628 | [  116/  200]
2 Layer Model | loss_sqrt: 0.287626 | [  117/  200]
2 Layer Model | loss_sqrt: 0.287623 | [  118/  200]
2 Layer Model | loss_sqrt: 0.287620 | [  119/  200]
2 Layer Model | loss_sqrt: 0.287618 | [  120/  200]
2 Layer Model | loss_sqrt: 0.287615 | [  121/  200]
2 Layer Model | loss_sqrt: 0.287612 | [  122/  200]
2 Layer Model | loss_sqrt: 0.287609 | [  123/  200]
2 Layer Model | loss_sqrt: 0.287606 | [  124/  200]
2 Layer Model | loss_sqrt: 0.287604 | [  125/  200]
2 Layer Model | loss_sqrt: 0.287601 | [  126/  200]
2 Layer Model | loss_sqrt: 0.287599 | [  127/  200]
2 Layer Model | loss_sqrt: 0.287596 | [  128/  200]
2 Layer Model | loss_sqrt: 0.287594 | [  129/  200]
2 Layer Model | loss_sqrt: 0.287591 | [  130/  200]
2 Layer Model | loss_sqrt: 0.287588 | [  131/  200]
2 Layer Model | loss_sqrt: 0.287586 | [  132/  200]
2 Layer Model | loss_sqrt: 0.287583 | [  133/  200]
2 Layer Model | loss_sqrt: 0.287581 | [  134/  200]
